order_number,order_date,item_name,quantity,product_price,total_products
16072,23/06/2021 12:33,Vindaloo - Chicken,2,7.95,4
16072,23/06/2021 12:33,Special Fried Rice,1,3.95,4
16072,23/06/2021 12:33,Plain Naan,1,2.6,4
16072,23/06/2021 12:33,Bombay Aloo,1,5.95,4
16073,23/06/2021 13:33,Cauliflower Bhajee,1,5.95,4
16073,23/06/2021 13:33,Dhansak - Chicken,1,8.95,4
16073,23/06/2021 13:33,Tarka Dall,2,5.95,4
16073,23/06/2021 13:33,Saag Dall,1,5.95,4
16074,23/06/2021 17:34,Bombay Aloo,1,5.95,4
16074,23/06/2021 17:34,Chicken Tikka Jalfrezi,1,8.95,4
16074,23/06/2021 17:34,Mushroom Rice,1,3.95,4
16074,23/06/2021 17:34,Plain Papadum,2,0.8,4
16075,23/06/2021 17:59,Madras - Chicken,1,7.95,4
16075,23/06/2021 17:59,Plain Naan,1,2.6,4
16075,23/06/2021 17:59,Bottle Diet Coke,1,2.95,4
16075,23/06/2021 17:59,Plain Rice,1,2.95,4
16076,23/06/2021 18:02,Plain Rice,1,2.95,7
16076,23/06/2021 18:02,Plain Naan,2,2.6,7
16076,23/06/2021 18:02,Mixed Vegetable Curry,1,5.95,7
16076,23/06/2021 18:02,Aloo Gobi,1,5.95,7
16076,23/06/2021 18:02,Curry Sauce,1,3.95,7
16076,23/06/2021 18:02,Mango Chutney,1,0.5,7
16076,23/06/2021 18:02,Raitha,1,2.95,7
16077,23/06/2021 18:21,Chicken Tikka Biryani,1,10.95,3
16077,23/06/2021 18:21,Stuffed Paratha,1,3.95,3
16077,23/06/2021 18:21,Meat Samosa,1,3.95,3
16078,23/06/2021 18:41,Lamb Tikka,1,4.95,6
16078,23/06/2021 18:41,Lime Pickle,1,0.5,6
16078,23/06/2021 18:41,Onion Chutney,1,0.5,6
16078,23/06/2021 18:41,Plain Rice,1,2.95,6
16078,23/06/2021 18:41,King Prawn Shaslick,1,12.95,6
16078,23/06/2021 18:41,COBRA ( LARGE ),2,5.95,6
16079,23/06/2021 18:45,Plain Papadum,4,0.8,5
16079,23/06/2021 18:45,Pathia - Chicken Tikka,2,8.95,5
16079,23/06/2021 18:45,COBRA ( LARGE ),1,5.95,5
16079,23/06/2021 18:45,House white wine 75cl,1,17.95,5
16079,23/06/2021 18:45,Pilau Rice,2,2.95,5
